wavelength,Z_L_IRCF,Z_IRCF,Z_H_IRCF,Y_L_IRCF,Y_IRCF,Xl_IRCF,Xl_H_IRCF,685_055_IRCF
491,0.005664139,0.129478072,0.318869878,0.282562301,0.157484754,0.002820766,0.010249912,0.01003766
492,0.005846277,0.123625449,0.301610341,0.299400374,0.165035631,0.002941777,0.01052425,0.010257943
493,0.005996354,0.118441889,0.286050022,0.316898125,0.172785273,0.003071517,0.01071611,0.010420469
494,0.006118111,0.113801879,0.271566505,0.335021356,0.180717431,0.003209634,0.01082265,0.01054013
495,0.006187273,0.109119107,0.257363588,0.353989293,0.18884205,0.003352155,0.010832886,0.010603926
496,0.006210418,0.1045179,0.243643507,0.37334744,0.197037268,0.003500243,0.010762342,0.010645883
497,0.006173906,0.099473063,0.229757135,0.393809303,0.205662606,0.003670696,0.010615197,0.010666039
498,0.006121874,0.094026288,0.216476862,0.414866515,0.214633564,0.003882173,0.010451987,0.010671721
499,0.006196519,0.088346114,0.204943435,0.435889445,0.22385609,0.004140397,0.010350466,0.010664929
500,0.006367594,0.082179678,0.195200142,0.457445787,0.233837214,0.004453824,0.010307199,0.010620447
501,0.006578893,0.076221246,0.187691612,0.478398128,0.244333778,0.004807766,0.010290177,0.010546936
502,0.006807804,0.070527066,0.181385537,0.499480435,0.255899749,0.005224253,0.010234668,0.010419495
503,0.007048145,0.06579418,0.176119558,0.520028357,0.268064266,0.005690773,0.010122362,0.010259142
504,0.007288048,0.06181465,0.171028674,0.540748453,0.281060376,0.006231595,0.009919398,0.0100369
505,0.007536558,0.058575032,0.165988618,0.561143815,0.294669822,0.006857543,0.00961311,0.009774985
506,0.007803125,0.055917748,0.161021578,0.580372803,0.308631656,0.007576851,0.009260572,0.00949521
507,0.008060702,0.053431154,0.155474014,0.59806759,0.323046786,0.008424163,0.009069088,0.009157534
508,0.008316678,0.051131955,0.149584658,0.613463168,0.337604077,0.009402771,0.009136619,0.008812192
509,0.008530609,0.048725799,0.142957619,0.626376255,0.352495729,0.01056324,0.009342524,0.008434442
510,0.008708736,0.046294866,0.136785225,0.636288634,0.36743175,0.011910908,0.009624282,0.00808364
511,0.008808589,0.043613934,0.131656752,0.64311491,0.382628213,0.013523676,0.009925355,0.007726429
512,0.008836197,0.040822077,0.12817177,0.646582097,0.397738507,0.015409802,0.010224262,0.007397257
513,0.008756973,0.037755685,0.125275728,0.646754319,0.412746627,0.017640467,0.010492828,0.007046365
514,0.008641243,0.034590279,0.122774949,0.643713613,0.427722878,0.020283534,0.01073841,0.006713795
515,0.008508556,0.031297377,0.11987389,0.637993185,0.442529932,0.02338566,0.010888308,0.006356411
516,0.008394093,0.028216125,0.116689497,0.629996646,0.457284034,0.027001912,0.010916703,0.006013895
517,0.008261321,0.025490507,0.112669065,0.62042549,0.471850434,0.031150125,0.010782349,0.005651021
518,0.008126246,0.023363316,0.108039952,0.609441559,0.486242244,0.035863034,0.010481765,0.005324077
519,0.007974237,0.021728152,0.10238905,0.597467007,0.50022028,0.041131719,0.009972984,0.005041315
520,0.007847147,0.020503734,0.096021654,0.58443279,0.513657176,0.046963643,0.009365668,0.004861473
521,0.00779701,0.019583417,0.089558925,0.570401329,0.526245451,0.053251624,0.008994467,0.004785376
522,0.007827228,0.018804149,0.083232889,0.555055681,0.538070184,0.060123014,0.008828335,0.00476634
523,0.00792556,0.018148796,0.077785272,0.538656683,0.548902211,0.067347612,0.00874225,0.004803738
524,0.008037192,0.017522096,0.072887623,0.52097879,0.559217874,0.075049438,0.008677157,0.004872493
525,0.008154423,0.016942633,0.068692596,0.502445166,0.56933057,0.082951449,0.008637555,0.004981069
526,0.008263217,0.016343426,0.064745607,0.48281967,0.579842559,0.091223782,0.008617218,0.005113258
527,0.008366519,0.01575739,0.061212782,0.462576651,0.590569532,0.099597149,0.008652718,0.005278032
528,0.008437882,0.01512888,0.057754578,0.441469169,0.601575919,0.108297134,0.008740009,0.005462496
529,0.008452269,0.014502463,0.054551733,0.42006321,0.61246995,0.117048967,0.008886274,0.005675186
530,0.008380539,0.013856492,0.051415046,0.39865361,0.623161154,0.125860709,0.009097095,0.005903035
531,0.008230472,0.013170488,0.048162209,0.376431851,0.633889811,0.135091091,0.009371218,0.006155469
532,0.008009823,0.012504993,0.044954744,0.354301908,0.644096641,0.14431752,0.009690589,0.006432206
533,0.007683731,0.011829936,0.041577504,0.332317872,0.653605237,0.153722193,0.010030017,0.006715543
534,0.007273189,0.011216606,0.038212697,0.310600635,0.662108051,0.163201465,0.010384125,0.007024195
535,0.006835304,0.010639992,0.034783869,0.289842529,0.669302579,0.172894074,0.010710195,0.00733125
536,0.006656129,0.010151964,0.031552802,0.270413783,0.675023607,0.182735589,0.011012541,0.00765406
537,0.006671981,0.009703053,0.028552744,0.252790398,0.67926777,0.192906992,0.011243566,0.007965275
538,0.006776453,0.009319748,0.026023975,0.237020853,0.682340289,0.203206507,0.011417048,0.008274459
539,0.006919128,0.008955359,0.023867224,0.222174439,0.684804555,0.214141351,0.011533274,0.008578566
540,0.007080709,0.008631462,0.022175947,0.208620298,0.687138561,0.225114444,0.011606509,0.008864821
541,0.007247643,0.008308921,0.020754561,0.195370367,0.689676771,0.236625511,0.011651958,0.009130693
